question_text;maxSpeed;age;Age2
Warum sollten bei der Ausführung die Schultern nicht komplett abgelegt werden?;;;
In welcher Bewegungsphase werden hier die unteren Bauchmuskeln dynamisch aktiviert?;;;
"""Warum ist bei der Ausführung darauf zu achten, nicht in ein """"Hohlkreuz"""" zu fallen?""";;;
Durch welche Maßnahme könnte die Schulterbelastung hier reduziert werden?;;;
Which of the following are parts of a cell?;;;
In which part of the cell can you find the DNA (deoxyribonucleic acid)?;;;
Which types of cell do you know?;;;
What is mitochondrion?;;;
Where can you find mitochondria?;;;
Which of the following types of tissue do you know?;;;
What is characteristic of fascia tissue?;;;
Which functional units is the nervous system made up of?;;;
The 'autonomic nervous system' (ANS) is divided into …;;;
What function does the central nervous system have?;;;
What function does the autonomic nervous system have?;;;
The 'parasympathetic nervous system' stands for ... ;;;
What is understood by homeostasis?;;;
The sympathetic nervous system stands for ...;;;
In which part of the body can you find the sympathetic nervous system?;;;
In which part of the body can you find the parasympathetic nervous system?;;;
A narrowing of the veins and dilation of the pupils is characteristic of  … ;;;
Which of the following processes of the reflex arc is correct?;;;
Which of the following are examples of automatic reflexes?;;;
Which of the following are examples of acquired reflexes?;;;
Which of the following are part of the passive human locomotor system?;;;
Which of the following are part of the active locomotor system?;;;
Which types of muscles do you know?;;;
The Latin name describes 'Muskulus triceps brachii' as a …;;;
Which muscle do you know as a 'single-joint muscle'?;;;
Which muscle tissue is able to contract over long periods?;;;
In which ways do muscles work?;;;
Determine how the muscles work during pull-ups.;;;
Determine how the muscles work during squats.;;;
Determine a possible synergy during triceps training.;;;
Determine a possible antagonism during rowing training.;;;
Determine a possible synergy during biceps training.;;;
What is understood by flexing?;;;
What is understood by an extension?;;;
What is understood by adduction?;;;
What is understood by abduction?;;;
Which joint movements are associated with the M. biceps brachii (biceps muscle)?;;;
Which joint movements are associated with the M. triceps brachii (triceps muscle)?;;;
Which joint movements are associated with the M. gluteus maximus (greater gluteus muscle)?;;;
Which joint movements are associated with the M. biceps femoris?;;;
Which joint movements are associated with the M. quadrizeps femoris (quadriceps)?;;;
Which joint movements are associated with the M. iliopsoas?;;;
Which joint movements are associated with the M. rectus abdominis muscle?;;;
Which joint movements are associated with the M. latissimus dorsi (lat muscle)?;;;
Which joint movements are associated with the M. pectoralis major (major pectoral muscle)?;;;
What is the function of bones in the body?;;;
What do you understand by arthrosis?;;;
How can you tell what a 'real joint' is?;;;
What is a 'joint' made up of?;;;
Which of these is a typical ball-and-socket joint?;;;
What is a typical hinge joint?;;;
Which muscles belong to the rotator cuff?;;;
Which important functions is the spine responsible for?;;;
"""Write the number of cervical, thoracic and lumbar vertebrae in the space provided.""";;;
How many muscles and bones does a healthy person have?;;;
Which body planes do you know?;;;
Which of the relationships between body axis and direction of movement of the spine is correct?;;;
What do you understand by 'lateral flexing'?;;;
What do you understand by 'dorsal extension'?;;;
What does the 'L' stand for when talking about the spine?;;;
What is characteristic for a slipped disk (prolapse)?;;;
Which poor postures make a difference?;;;
What do you understand by a kyphosis posture?;;;
What do you understand by a lordotic posture?;;;
Which muscles need to be trained to stabilize the spine?;;;
What do you understand by scoliosis?;;;
Please complete the sentence: People with osteoporosis suffer from … ?;;;
What makes up the heart circulatory system?;;;
What is the blood responsible for?;;;
What is characteristic of an athlete's heart?;;;
Which of the following statements about veins and arteries are true?;;;
Which statements stand for the systolic value when taking someone's blood pressure?;;;
What allows blood to only flow through the vessels in one direction?;;;
Which statements stand for the diasystolic value when taking someone's blood pressure?;;;
What function do the lymphatic vessels have in the body?;;;
Which types of energy supply do you know?;;;
How do the mechanisms for the energy supply in the body work?;;;
Is the statement that fat is not burned until 20 minutes into endurance training true?;;;
How long should stress last to burn up to c. 80% of fat?;;;
How long should stress last to burn up to c. 20% of fat?;;;
How long should stress last to burn up to 70% of phosphocreatine?;;;
"""Please complete the sentence: During training, the chemical energy ATP is transformed into …""";;;
"""Please complete the sentence: The higher the maximum rate of ATP, the … """;;;
Please complete the sentence: The duration and intensity of maximum performance are … ;;;
"""Please complete the sentence: The better trained the fat metabolism, the better …""";;;
Please complete the sentence: The energy supply depends on … ;;;
Which components influence performance in sport?;;;
Motor-learning abilities can be divided into …  ;;;
What are motor-learning abilities?;;;
Please complete the sentence: Super-compensation characterizes the principle … ;;;
Please complete the sentence:  How long it takes to recover is dependent on: …;;;
Which muscle groups require the longest time to recover?;;;
What are the most important principles of training?;;;
What is the difference between general and local endurance?;;;
Please complete the sentence: Strength always releases … ;;;
Please complete the sentence: Resistance curves are dependent on … ;;;
Please complete the sentence: Strength curves are … ;;;
Would you recommend a power athlete endurance training?;;;
Is it a good idea to do endurance training in rehabilitative sports?;;;
What does an 'optimal pulse rate' during training depend on?;;;
Which formulas are known to theoretically work out maximum heart rate?;;;
What is characteristic of basic endurance training?;;;
What is characteristic of interval training?;;;
Which strength abilities do you know?;;;
Please complete the following sentence:  Maximum strength is the ability of the neuromusculoskeletal system …;;;
How can you achieve an increase in reactive force?;;;
What does the term 'hypertrophy' mean?;;;
What causes sore muscles?;;;
What are the characteristics of muscle fibers?;;;
What helps aching muscles?;;;
What is the difference between concentric and eccentric movement?;;;
Please complete the sentence: Speed strength is the ability to ... in the shortest possible time: ;;;
"""Please complete the sentence: In comparison to FT fibers, ST fibers …""";;;
Name possible goals of strength training;;;
Which types of strength training do you know?;;;
Please complete the sentence: One rep corresponds to …;;;
Please complete the sentence: One station corresponds to several … ;;;
Please complete the sentence: A set/a series corresponds to several …;;;
Which number of reps is generally the norm for maximum strength training?;;;
Which number of reps is generally the norm for hypertrophy training?;;;
Which number of reps is generally the norm for strength endurance training?;;;
When should you breathe out during a rep?;;;
What consequences does suppressed exhaling on exertion in strength training have?;;;
What can lead to a stitch?;;;
What helps a stitch?;;;
What is understood by cadence?;;;
How long should the break be between two sets?;;;
What are the advantages of training in several sets as opposed to single-set training?;;;
How is strength endurance characterized?;;;
What does intermuscular coordination training improve?;;;
"""What should you watch out for when doing one-arm dumbbell exercises (e.g. shoulder press, standing)?""";;;
Why is proprioceptive training done?;;;
What does intramuscular coordination training improve?;;;
Which disadvantages does intramuscular coordination training have?;;;
Which terms are associated with speed training?;;;
Please complete the sentence: Mobility is defined by …;;;
Active mobility is understood by the range of movement that …;;;
Passive mobility is understood by the range of movement that …;;;
Steps in training management. Select the correct order.;;;
What should the coach try to find out in the initial meeting with the customer?;;;
What biometric information can be recorded in the initial meeting?;;;
Which tests are motor-learning tests?;;;
What factors are important when drawing up personal training plans?;;;
Why is it a good idea to draw up a personal training plan?;;;
What needs to be in the training plan?;;;
What are the most important parameters in a training plan?;;;
How long is a microcycle?;;;
How long is a mesocycle?;;;
How long is a macrocycle?;;;
Criteria for the choice of exercise. Choose the correct order.;;;
What is important when drawing up a training plan for older people?;;;
What makes up a training session?;;;
Please complete the sentence: Muscular balance can be disrupted by …;;;
What are important characteristics in terms of stress with relation to achieving the desired effect?;;;
You would like to increase stress within the framework of the training plan.  What is important?;;;
For which target group is training at sub-maximal intensity a good idea?;;;
For which target groups is training at medium intensity a good idea?;;;
What does a general training session look like?;;;
Why should you warm up every time you train?;;;
What is special about the IPP method?;;;
Why is an IPP test a better idea in rehabilitation sport than a maximal strength test?;;;
How is the stress intensity measured in an IPP test?;;;
Which of the following types of warming down do you know?;;;
How do you complete the training check?;;;
What types of endurance tests do you know?;;;
Which types of performance diagnostics do you know?;;;
How can you check the effectiveness of a training model?;;;
What does the word 'VO2max' mean?;;;
Where does the expression 'acidosis' come from?;;;
Which test procedure determines individual anaerobic exercise?;;;
"""Please complete the sentence: The higher the stress in the individual anaerobic exercise, … """;;;
When should stress tests not be carried out?;;;
When must a stress test be stopped?;;;
What does the abbreviation 'TUT' mean in weight training?;;;
What is important for a coach when working with a customer?;;;
How should the introduction to an exercise be carried out?;;;
Should you also show the customer how not to do an exercise?;;;
Which of the following safety measures should be observed when inducting a customer?;;;
What should be observed when correcting a customer?;;;
What is important when training on a leg press?;;;
What tips can you give for stabilization when doing strength training exercises standing up straight?;;;
How can you motivate a customer long-term in the gym?;;;
What does a coach need biomechanical know-how for?;;;
What does it mean to train under 'complete ROM' mode?;;;
What are the advantages of ROM training?;;;
Which of the following statements referring to a 'pronated grip' and 'supinated grip' do you agree with?;;;
Which letter belongs to which piece of training equipment? Please write it in the respective box!;;;
Which of the following are common types of exercises?;;;
Which of the following are part of a compound machine?;;;
Which type of exercise do the pendulum hip press and the butterfly machine belong to?;;;
Which of the following examples characterizes an isolated exercise?;;;
Which of the following examples is a complex (polyarticular) exercise?;;;
What advantages do exercises on machines have over those without?;;;
What advantages do exercises without machines have over those with?;;;
What advantages do isolation exercises have compared to polyarticular exercises?;;;
When can stretching be helpful?;;;
When is stretching not recommended?;;;
Which macronutrients do you know?;;;
Which micronutrients do you know?;;;
Which of the following physical calorie intakes are correct?;;;
Which factors does the energy supply depend on?;;;
Which factors does the basal metabolic rate depend on?;;;
Passage of food through the body. Which order is correct?;;;
What are the causes of obesity?;;;
What are the symptoms of metabolic syndrome?;;;
Please write in the correct values for the Body Mass Index (BMI)!;;;
With the help of which method can the effect of visceral fat be judged?;;;
Which of the following recommendations can prevent resistance to insulin?;;;
Which foods have a low glycemic level?;;;
What can cause a permanently high level of insulin in the blood?;;;
Which of the following belong to the 10 rules of a balanced diet?;;;
Which groups of people can food supplements be good for;;;
What happens when nutrition is stopped?;;;
Is it possible to reduce the layer of fat in a particular place on the body by training?;;;
By how much can the proportion of body fat be realistically reduced per week?;;;
What does the body need protein for?;;;
Which proteins are important for a healthy diet?;;;
Which fats are important for a healthy diet?;;;
Why is fat so essential for the body?;;;
Which of the following supplies the body with highly unsaturated fats?;;;
In which phase should the customer breathe out?;;;
Why should the toes be higher than the knees?;;;
Which target group would you recommend 'abduction standing' in particular?;;;
What do you have to watch out for with this exercise?;;;
How can the knee angle be aligned?;;;
Why should the side stomach muscles be targeted specifically in training?;;;
Is the exercise shown for stabilizing the lumbar vertebrae?;;;
What do you have to watch out for on the leg extension machine?;;;
How can different segments of the spine be trained?;;;
What determines free-standing hyperextension from sitting at a back extension machine?;;;
Is it important to maintain tension of the shoulder blades behind during this exercise?;;;
What do you have to watch out for when doing lat pull-downs?;;;
Why should the chest remain on the chest cushion during the 'butterfly reverse' exercise?;;;
Why is the bend-over barbell row not suitable for a beginner?;;;
Pull-over machine: What do you have to watch out for when adjusting the seat?;;;
Which target group is the cervical part of the spine extension exercise especially suitable for? For people who …;;;
What needs to be observed regarding the handle width?;;;
Why should free-standing knee curls begin the upward movement with the head?;;;
When is it a good idea to grasp the barbell in different places during a dead lift?;;;
Which statement is correct?;;;
What is to be observed when adjusting the height of the seat?;;;
Why should the position of the handles not be above chest level?;;;
Why should the barbell touch the chest when doing an exercise?;;;
Why should the shoulders be in line with the pivot point on the machine?;;;
What needs to be observed when training the shoulder head as an isolated exercise?;;;
Why should the armpits be in constant contact with the cushion?;;;
Why should the elbows remain free during the movement?;;;
Which of the following measures could avoid a deflection of the upper body?;;;
Why should the elbows remain on the body during the exercise?;;;
Why is it better to allow the bar to go behind the head rather than past the forehead?;;;
What makes this exercise different from doing it with a dumbbell?;;;
Why should the shoulders not be completely dropped?;;;
In which movement phase are the lower stomach muscles activated dynamically?;;;
Why is it important not to slip into a hollow back when doing the exercise?;;;
Which of the following measures can reduce the burden on the shoulders here?;;;